COUNTRY,YEAR_MONTH,TITLE,CHANNELTITLE,CATEGORY_TITLE,VIEW_COUNT,LIKES_RATIO
US,1/08/2021,Turn into orbeez - Tutorial #Shorts,FFUNTV,Entertainment,206202284,3.32
BR,1/09/2021,LISA - 'LALISA' M/V,BLACKPINK,Music,161848202,7.13
CA,1/09/2021,LISA - 'LALISA' M/V,BLACKPINK,Music,161848202,7.13
DE,1/09/2021,LISA - 'LALISA' M/V,BLACKPINK,Music,161848202,7.13
FR,1/09/2021,LISA - 'LALISA' M/V,BLACKPINK,Music,169274664,6.91
GB,1/09/2021,LISA - 'LALISA' M/V,BLACKPINK,Music,154134590,7.36
IN,1/09/2021,LISA - 'LALISA' M/V,BLACKPINK,Music,161848202,7.13
JP,1/09/2021,LISA - 'LALISA' M/V,BLACKPINK,Music,169274664,6.91
KR,1/09/2021,LISA - 'LALISA' M/V,BLACKPINK,Music,192376395,6.33
MX,1/09/2021,LISA - 'LALISA' M/V,BLACKPINK,Music,176014411,6.73
RU,1/09/2021,LISA - 'LALISA' M/V,BLACKPINK,Music,124097287,8.49
US,1/09/2021,LISA - 'LALISA' M/V,BLACKPINK,Music,154134590,7.36
BR,1/10/2021,Adele - Easy On Me (Official Video),AdeleVEVO,Music,99208622,4.07
CA,1/10/2021,Adele - Easy On Me (Official Video),AdeleVEVO,Music,99208622,4.07
DE,1/10/2021,Adele - Easy On Me (Official Video),AdeleVEVO,Music,99208622,4.07
FR,1/10/2021,Adele - Easy On Me (Official Video),AdeleVEVO,Music,104017073,3.99
GB,1/10/2021,Adele - Easy On Me (Official Video),AdeleVEVO,Music,104017073,3.99
IN,1/10/2021,Insaniyat shayad ab bachho me he rah gai hai 😭😭#emotinalstory #sadstory #stories #heroindori,Heroindori,Comedy,74239290,5.59
JP,1/10/2021,Adele - Easy On Me (Official Video),AdeleVEVO,Music,114925848,3.79
KR,1/10/2021,Adele - Easy On Me (Official Video),AdeleVEVO,Music,114925848,3.79
MX,1/10/2021,Adele - Easy On Me (Official Video),AdeleVEVO,Music,111662438,3.85
RU,1/10/2021,Img it popped!! #Shorts,Romina Gafur,Entertainment,68318786,4.14
US,1/10/2021,Adele - Easy On Me (Official Video),AdeleVEVO,Music,128930039,3.54
BR,1/11/2021,TWICE “SCIENTIST” M/V,JYP Entertainment,Music,50965769,4.18
